Fecha y hora,Vehiculo,Edad,Sexo,Tipo de Siniestro,Otro vehiculo,Lugar del Siniestro
7/3/12 15:15,MOTO,64,M,CAIDA,-,"APARICIO SARAVIA Y PEDRAGOSA SIERRA, MALDONADO"
7/3/12 23:00,MOTO,25,M,COLISION ENTRE VEHICULOS,MOTO,"AVENIDA DOMINGO SARMIENTO Nro. 2652 esq. FRANCISCO AGUILAR, MONTEVIDEO"
9/3/12 0:30,MOTO,18,F,COLISION CON OBSTACULO,-,"RUTA 5 KM. 186, DURAZNO"
9/3/12 5:05,MOTO,51,M,CAIDA,-,"BOULEVARD FRUCTUOSO DEL PUERTO esq. TENIENTES DE ARTIGAS, TREINTA Y TRES"
10/3/12 10:00,PEATON,78,F,ATROPELLO DE PEATON,CAMIONETA,"ARTIGAS esq. VEINTICINCO DE AGOSTO, SALTO"
10/3/12 13:40,MOTO,71,M,COLISION ENTRE VEHICULOS,MOTO,"AV. ITALIA Y LAS TROPAS, CERRO LARGO"
10/3/12 13:40,MOTO,Sin Dato,F,COLISION ENTRE VEHICULOS,MOTO,"AV. ITALIA Y LAS TROPAS, CERRO LARGO"
10/3/12 23:00,MOTO,21,M,COLISION ENTRE VEHICULOS,AUTO,"APARICIO SARAVIA Y FCO. ROMERO, RIVERA"
10/3/12 23:55,PEATON,23,F,ATROPELLO DE PEATON,AUTO,"AVENIDA INGENIERO LUIS GIANNATTASIO esq. AVENIDA AMELIA RAMIREZ DE GARCIA LAGOS, CANELONES"
11/3/12 0:50,MOTO,16,M,DESPISTE,-,"RUTA 4 KM 113 Y 114 RUMBO A PUEBLO SEQUEIRA, SALTO"
11/3/12 6:50,MOTO,28,M,CAIDA,-,"AVENIDA COSTANERA esq. GENERAL RIVERA, COLONIA"
12/3/12 18:50,CAMIONETA,77,M,DESPISTE,,"RUTA 90 KM. 15, PAYSANDU"
13/03/2012 04:30,MOTO,39,M,CAIDA,-,"RUTA 26 KM. 68 , PAYSANDU"
13/03/2012 08:26,CAMIONETA,34,M,DESPISTE,-,"RUTA 96 KM 30, SORIANO"
13/03/2012 12:25,MOTO,58,M,COLISION ENTRE VEHICULOS,CAMION,"RUTA CINCO esq. CAMINO FAUQUET, MONTEVIDEO"
14/03/2012 09:30,PEATON,86,F,ATROPELLO DE PEATON,CAMIONETA,"JAIME ROLDOS Y PONS Y ROBINSON, MONTEVIDEO"
14/03/2012 11:05,PEATON,67,M,ATROPELLO DE PEATON,OMNIBUS,"JOSE BATLLE Y ORDO„EZ esq. BALTASAR BRUM, CANELONES"
14/03/2012 15:50,CAMION,60,M,COLISION CON OBSTACULO,,"RUTA 2 KM. 133 , COLONIA"
15/03/2012 04:20,MOTO,17,M,ATROPELLO DE ANIMALES,-,"AVENIDA SARANDI esq. A. LATORRE, SALTO"
15/03/2012 06:00,AUTO,28,M,DESPISTE,-,"RUTA 31 KM. 62 , SALTO"
